crash_date,crash_time,borough,on_street,cross_street,contributing_factor,vehicle_type,persons_injured,persons_killed,lat,lon
2022-05-05,18:11:00,BROOKLYN,LINCOLN PLACE,ALBANY AVENUE,Driver Inattention/Distraction,Sedan,1,0,40.67019,-73.93935
2022-02-27,17:39:00,BROOKLYN,SAINT JOHNS PLACE,BUFFALO AVENUE,Unknown,Unknown,1,0,40.670277,-73.92542
2022-09-12,11:00:00,BROOKLYN,ROCHESTER AVENUE,SAINT JOHNS PLACE,Unspecified,Sedan,0,0,40.67043,-73.928185
2022-02-26,16:56:00,BROOKLYN,TROY AVENUE,PROSPECT PLACE,Driver Inattention/Distraction,Bus,1,0,40.67356,-73.93627
2022-08-28,16:51:00,BROOKLYN,SAINT MARKS AVENUE,UTICA AVENUE,Unspecified,Sedan,0,0,40.674145,-73.93062
2022-06-25,18:30:00,BROOKLYN,ALBANY AVENUE,BERGEN STREET,Unspecified,Sedan,1,0,40.67549,-73.93885
2022-04-01,15:30:00,BROOKLYN,PACIFIC STREET,ALBANY AVENUE,Unsafe Speed,Unknown,1,0,40.677048,-73.9387
2022-09-22,08:30:00,BROOKLYN,ATLANTIC AVENUE,UTICA AVENUE,Driver Inattention/Distraction,Sedan,1,0,40.677414,-73.93033
2022-05-26,17:23:00,BROOKLYN,HERKIMER STREET,KINGSTON AVENUE,Traffic Control Disregarded,Sedan,0,0,40.679184,-73.941284
2022-07-20,18:50:00,BROOKLYN,FULTON STREET,SCHENECTADY AVENUE,Following Too Closely,Sedan,0,0,40.67948,-73.93291
2022-07-23,17:15:00,BROOKLYN,Unknown,Unknown,Following Too Closely,Moped,2,0,40.679543,-73.93414
2022-12-12,09:20:00,BROOKLYN,CROPSEY AVENUE,CANAL AVENUE,Driver Inattention/Distraction,Sedan,1,0,40.58309,-73.98637
2022-07-22,17:40:00,BROOKLYN,BAY 46 STREET,STILLWELL AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.592495,-73.98444
2022-09-03,11:50:00,BROOKLYN,25 AVENUE,HARWAY AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.592762,-73.99257
2022-02-26,19:32:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.592934,-73.990036
2022-05-18,17:04:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.59419,-73.99771
2022-07-11,14:40:00,BROOKLYN,BENSON AVENUE,26 AVENUE,Other Vehicular,Sedan,0,0,40.594894,-73.98677
2022-01-17,13:41:00,BROOKLYN,Unknown,Unknown,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,1,0,40.595104,-74.00091
2022-06-25,14:35:00,BROOKLYN,STILLWELL AVENUE,26 AVENUE,Unspecified,Station Wagon/Sport Utility Vehicle,1,0,40.596397,-73.98521
2022-06-14,16:08:00,BROOKLYN,Unknown,Unknown,Other Vehicular,Sedan,0,0,40.5971,-73.99645
2022-02-04,07:12:00,BROOKLYN,Unknown,Unknown,Unspecified,Sedan,0,0,40.598465,-73.99145
2022-03-19,08:20:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Garbage or Refuse,0,0,40.600147,-74.001686
2022-06-06,12:05:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.600746,-73.99505
2022-07-17,20:50:00,BROOKLYN,23 AVENUE,85 STREET,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.60118,-73.99098
2022-12-27,11:50:00,BROOKLYN,Unknown,Unknown,Backing Unsafely,Box Truck,0,0,40.601334,-73.992805
2022-02-20,22:20:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.602764,-73.998955
2022-01-06,16:00:00,BROOKLYN,Unknown,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.60288,-74.00244
2022-07-13,11:20:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.60293,-74.008026
2022-06-26,12:15:00,BROOKLYN,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.605606,-73.99721
2022-03-27,00:10:00,BROOKLYN,Unknown,Unknown,Fell Asleep,Station Wagon/Sport Utility Vehicle,1,0,40.606613,-73.990906
2022-06-29,13:30:00,BROOKLYN,BAY PARKWAY,AVENUE P,Unspecified,Sedan,2,0,40.607117,-73.98843
2022-12-19,11:20:00,BROOKLYN,18 AVENUE,86 STREET,Failure to Yield Right-of-Way,Sedan,2,0,40.607258,-74.00265
2022-10-14,07:50:00,BROOKLYN,BAY 17 STREET,86 STREET,Failure to Yield Right-of-Way,Bike,2,0,40.60771,-74.00341
2022-06-01,21:50:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Box Truck,0,0,40.607784,-73.987755
2022-04-20,13:45:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Van,0,0,40.60874,-74.00513
2022-07-24,08:30:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.60883,-74.0086
2022-03-11,15:05:00,BROOKLYN,84 STREET,17 AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.60997,-74.00343
2022-08-21,13:48:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.61055,-74.00145
2022-06-23,15:29:00,BROOKLYN,80 STREET,NEW UTRECHT AVENUE,Driver Inattention/Distraction,Ambulance,0,0,40.61183,-74.00108
2022-06-02,16:40:00,BROOKLYN,Unknown,Unknown,Passing or Lane Usage Improper,Pick-up Truck,0,0,40.61354,-73.9997
2022-11-03,23:54:00,BROOKLYN,7 AVENUE,36 STREET,Unspecified,Sedan,0,0,40.650288,-73.9978
2022-09-30,11:02:00,BROOKLYN,PROSPECT PARK WEST,18 STREET,Backing Unsafely,Truck,0,0,40.65771,-73.98286
2022-08-16,06:35:00,BROOKLYN,Unknown,Unknown,Driverless/Runaway Vehicle,Sedan,0,0,40.657738,-73.99005
2022-04-22,21:00:00,BROOKLYN,24 STREET,6 AVENUE,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.658337,-73.99297
2022-07-07,15:30:00,BROOKLYN,Unknown,Unknown,Other Vehicular,Sedan,0,0,40.660725,-73.979805
